"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10821","checkLocators","Surefire suite","Wed Jul 30 18:56:57 GMT 2025","passed","Wed Jul 30 18:57:08 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocators"
"Проверка авторизации: используя {0} и {1}","408","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:57:33 GMT 2025","passed","Wed Jul 30 18:57:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","421","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:57:34 GMT 2025","passed","Wed Jul 30 18:57:35 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации без заполнения всех полей","398","checkLoginWithEmptyFields","Surefire suite","Wed Jul 30 18:57:30 GMT 2025","passed","Wed Jul 30 18:57:31 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка добавления товара в корзину из карточки товара","10456","checkAddProductInCartFromCard","Surefire suite","Wed Jul 30 18:56:46 GMT 2025","broken","Wed Jul 30 18:56:57 GMT 2025","tests.AddProductFromCardTest","Surefire test","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"Проверка удаления товара из корзины","10446","Проверка добавления и удаления товара","Surefire suite","Wed Jul 30 18:57:08 GMT 2025","broken","Wed Jul 30 18:57:19 GMT 2025","tests.AddRemoveProductsTest","Surefire test","tests.AddRemoveProductsTest","addRemoveProducts"
"Проверка авторизации","10451","checkLoginPositive","Surefire suite","Wed Jul 30 18:57:19 GMT 2025","broken","Wed Jul 30 18:57:30 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginPositive"
"Проверка авторизации без заполнения имени","404","checkLoginWithEmptyUserName","Surefire suite","Wed Jul 30 18:57:32 GMT 2025","passed","Wed Jul 30 18:57:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка добавления товара в корзину с главной страницы","11282","Проверка добавления товара в корзину с главной страницы","Surefire suite","Wed Jul 30 18:56:34 GMT 2025","broken","Wed Jul 30 18:56:46 GMT 2025","tests.AddProductInCartTest","Surefire test","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации без заполнения пароля","425","checkLoginWithEmptyPassword","Surefire suite","Wed Jul 30 18:57:31 GMT 2025","passed","Wed Jul 30 18:57:31 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации: используя {0} и {1}","508","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:57:34 GMT 2025","passed","Wed Jul 30 18:57:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
